,id,userId,eventId,homeworkRequestId,classId,documentId,message,priority,creationDate,lastModificationDate,expirationDate,notificationType,sphere,title
792,5f7cb4759fe5530001fd1cba,5f7cb4759fe5530001fd1cb7,,,,,Trouvez la classe de vos enfants,1,2020-10-06 20:16,2021-02-15 14:07,2020-10-21 20:16,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
793,5f7cb4759fe5530001fd1cb8,5f7cb4759fe5530001fd1cb7,,,,,Pour voir tous les events,1,2020-10-06 20:16,2021-02-15 14:07,2020-10-21 20:16,SETUP_CALENDAR,HOME,Synchronisez vos agendas
794,5f7cb4759fe5530001fd1cb9,5f7cb4759fe5530001fd1cb7,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 20:16,2021-02-15 14:07,2020-10-21 20:16,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
795,5f7ccb5308a33300018ccc73,5f7ccb5308a33300018ccc72,,,,,Pour voir tous les events,1,2020-10-06 21:53,2021-02-15 14:07,2020-10-07 12:00,SETUP_CALENDAR,HOME,Synchronisez vos agendas
796,5f7ccb5308a33300018ccc75,5f7ccb5308a33300018ccc72,,,,,Trouvez la classe de vos enfants,1,2020-10-06 21:53,2021-02-15 14:07,2020-10-21 21:53,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
797,5f7cccca08a33300018ccc86,5f7cccca08a33300018ccc85,,,,,Pour voir tous les events,1,2020-10-06 22:00,2021-02-15 14:07,2020-10-21 22:00,SETUP_CALENDAR,HOME,Synchronisez vos agendas
798,5f7ccb5308a33300018ccc74,5f7ccb5308a33300018ccc72,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 21:53,2021-02-15 14:07,2020-10-06 11:58,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
799,5f7cccca08a33300018ccc87,5f7cccca08a33300018ccc85,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 22:00,2021-02-15 14:07,2020-10-06 10:26,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
800,5f7cccca08a33300018ccc88,5f7cccca08a33300018ccc85,,,,,Trouvez la classe de vos enfants,1,2020-10-06 22:00,2021-02-15 14:07,2020-10-06 10:24,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
801,5f7ce8449fe5530001fd1d1e,5f7ce8449fe5530001fd1d1d,,,,,Pour voir tous les events,1,2020-10-06 23:57,2021-02-15 14:07,2020-10-21 23:57,SETUP_CALENDAR,HOME,Synchronisez vos agendas
802,5f7ce8449fe5530001fd1d20,5f7ce8449fe5530001fd1d1d,,,,,Trouvez la classe de vos enfants,1,2020-10-06 23:57,2021-02-15 14:07,2020-10-21 23:57,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
803,5f7ce8449fe5530001fd1d1f,5f7ce8449fe5530001fd1d1d,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 23:57,2021-02-15 14:07,2020-10-21 23:57,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
804,5f7d52be08a33300018ccd1c,5f7d52be08a33300018ccd1b,,,,,Pour voir tous les events,1,2020-10-07 07:31,2021-02-15 14:07,2020-10-22 07:31,SETUP_CALENDAR,HOME,Synchronisez vos agendas
805,5f7d52be08a33300018ccd1e,5f7d52be08a33300018ccd1b,,,,,Trouvez la classe de vos enfants,1,2020-10-07 07:31,2021-02-15 14:07,2020-10-22 07:31,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
806,5f7d52be08a33300018ccd1d,5f7d52be08a33300018ccd1b,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-07 07:31,2021-02-15 14:07,2020-10-22 07:31,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
807,5f7d6c2708a33300018ccd7c,5f64f555fb6eb600010f639d,,5f7d6c2708a33300018ccd78,5f54ce6585b2260001876b6f,,Caroline Guérard a besoin de l'exercice 'Geometrie G1 dans le banque outil math' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 09:20,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
808,5f7d6c2708a33300018ccd81,5f54eff39ecb020001026237,,5f7d6c2708a33300018ccd78,5f54ce6585b2260001876b6f,,Caroline Guérard a besoin de l'exercice 'Geometrie G1 dans le banque outil math' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 09:20,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
809,5f7d6c2708a33300018ccd79,5f64fe1cfb6eb600010f63bf,,5f7d6c2708a33300018ccd78,5f54ce6585b2260001876b6f,,Caroline Guérard a besoin de l'exercice 'Geometrie G1 dans le banque outil math' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 09:20,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
810,5f7d6c2708a33300018ccd7f,5f68a93b046ca50001ad36ae,,5f7d6c2708a33300018ccd78,5f54ce6585b2260001876b6f,,Caroline Guérard a besoin de l'exercice 'Geometrie G1 dans le banque outil math' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 09:20,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
811,5f7d6c2708a33300018ccd7d,5f68cf49046ca50001ad3752,,5f7d6c2708a33300018ccd78,5f54ce6585b2260001876b6f,,Caroline Guérard a besoin de l'exercice 'Geometrie G1 dans le banque outil math' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 09:20,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
812,5f7d76139fe5530001fd1e26,5e617d019fed0e00015600a9,,5f7d76139fe5530001fd1e22,5f54ce6585b2260001876b6f,,helene Chenard a besoin de l'exercice 'bonjour pourrais-je aussi avoir le devoir de géométrie G1. merci' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 10:02,2021-02-15 14:07,2020-10-26 20:22,HOMEWORK_REQUEST,SCHOOL,
813,5f7d76139fe5530001fd1e23,5f64fe1cfb6eb600010f63bf,,5f7d76139fe5530001fd1e22,5f54ce6585b2260001876b6f,,helene Chenard a besoin de l'exercice 'bonjour pourrais-je aussi avoir le devoir de géométrie G1. merci' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 10:02,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
814,5f7d76139fe5530001fd1e29,5f68a93b046ca50001ad36ae,,5f7d76139fe5530001fd1e22,5f54ce6585b2260001876b6f,,helene Chenard a besoin de l'exercice 'bonjour pourrais-je aussi avoir le devoir de géométrie G1. merci' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 10:02,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
815,5f7d76139fe5530001fd1e27,5f64f555fb6eb600010f639d,,5f7d76139fe5530001fd1e22,5f54ce6585b2260001876b6f,,helene Chenard a besoin de l'exercice 'bonjour pourrais-je aussi avoir le devoir de géométrie G1. merci' de la classe Mme Desseaux - CM1 pour jeudi 08 octobre. Merci!,1,2020-10-07 10:02,2021-02-15 14:07,2020-10-07 10:23,HOMEWORK_REQUEST,SCHOOL,
