,id,level,name,schoolYear,creationDate,nbChild,secteur_public_prive_libe,appellation_officielle,code_postal_uai,code_commune,libelle_commune,localite_acheminement_uai,libelle_departement,libelle_region,geometry_type,coordinatesLat,coordinatesLong,lastModificationDate,coordinates,nbArchivedChildren,cacheMap
169,5f7eff7d9fe5530001fd2405,Grande section,classe 1,2020-2021,2020-10-08 14:01,1.0,Public,Ecole maternelle Louis Pasteur,94800,94076,Villejuif,VILLEJUIF,Val-de-Marne,Ile-de-France,Point,48.80495315,2.36698799,2021-02-15 14:07,"48.80495314876418,2.3669879859517167",0.0,🔵 eyJpIjoiNDguODA0OTUzMTQ4NzY0MTgsMi4zNjY5ODc5ODU5NTE3MTY3IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODA0OTUzLCJsbmciOjIuMzY2OTg4LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
170,5f7e9cea9fe5530001fd22f8,Petite section,classe 2,2020-2021,2020-10-08 07:00,0.0,Public,Ecole primaire Pasteur,94800,94076,Villejuif,VILLEJUIF,Val-de-Marne,Ile-de-France,Point,48.80512294,2.36542419,2021-02-15 14:07,"48.805122936942546,2.365424188326096",1.0,🔵 eyJpIjoiNDguODA1MTIyOTM2OTQyNTQ2LDIuMzY1NDI0MTg4MzI2MDk2IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODA1MTIzLCJsbmciOjIuMzY1NDI0LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
171,5f7e9e129fe5530001fd2339,Petite section,classe 2,2020-2021,2020-10-08 07:05,2.0,Public,Ecole maternelle Louis Pasteur,94800,94076,Villejuif,VILLEJUIF,Val-de-Marne,Ile-de-France,Point,48.80495315,2.36698799,2021-02-15 14:07,"48.80495314876418,2.3669879859517167",0.0,🔵 eyJpIjoiNDguODA0OTUzMTQ4NzY0MTgsMi4zNjY5ODc5ODU5NTE3MTY3IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODA0OTUzLCJsbmciOjIuMzY2OTg4LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
172,5f7f8a6708a33300018cd5a5,CM1,A,2020-2021,2020-10-08 23:53,1.0,Public,Ecole élémentaire Jules Ferry,62231,62774,Sangatte,SANGATTE,Pas-de-Calais,Hauts-de-France,Point,50.95637599,1.80546771,2021-02-15 14:07,"50.95637599023759,1.8054677080736439",0.0,🔵 eyJpIjoiNTAuOTU2Mzc1OTkwMjM3NTksMS44MDU0Njc3MDgwNzM2NDM5IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NTAuOTU2Mzc2LCJsbmciOjEuODA1NDY4LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
173,5f80a98208a33300018cd750,2nde,Jaune C,2020-2021,2020-10-09 20:18,1.0,Privé,Lycée général et technologique privé Sophie Barat,92290,92019,Châtenay-Malabry,CHATENAY MALABRY,Hauts-de-Seine,Ile-de-France,Point,48.75851478,2.2719575,2021-02-15 14:07,"48.758514777628484,2.2719575039552855",0.0,🔵 eyJpIjoiNDguNzU4NTE0Nzc3NjI4NDg0LDIuMjcxOTU3NTAzOTU1Mjg1NSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ4Ljc1ODUxNSwibG5nIjoyLjI3MTk1OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
174,5f81560608a33300018cd909,4ème,C,2020-2021,2020-10-10 08:34,0.0,Public,Collège René Cassin,62193,62516,Lillers,LILLERS CEDEX,Pas-de-Calais,Hauts-de-France,Point,50.55895891,2.47160738,2021-02-15 14:07,"50.558958912692994,2.4716073830201033",0.0,🔵 eyJpIjoiNTAuNTU4OTU4OTEyNjkyOTk0LDIuNDcxNjA3MzgzMDIwMTAzMyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjUwLjU1ODk1OSwibG5nIjoyLjQ3MTYwNywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
175,5f81562e9fe5530001fd297f,4ème,4eC,2020-2021,2020-10-10 08:35,1.0,Public,Collège René Cassin,62193,62516,Lillers,LILLERS CEDEX,Pas-de-Calais,Hauts-de-France,Point,50.55895891,2.47160738,2021-02-15 14:07,"50.558958912692994,2.4716073830201033",0.0,🔵 eyJpIjoiNTAuNTU4OTU4OTEyNjkyOTk0LDIuNDcxNjA3MzgzMDIwMTAzMyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjUwLjU1ODk1OSwibG5nIjoyLjQ3MTYwNywiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
176,5f8070889fe5530001fd2784,CP,Cp,2020-2021,2020-10-09 16:15,1.0,Public,Ecole primaire Jean Macé,11100,11262,Narbonne,NARBONNE,Aude,Occitanie,Point,43.19443434,3.01581878,2021-02-15 14:07,"43.194434341092865,3.015818776884751",0.0,🔵 eyJpIjoiNDMuMTk0NDM0MzQxMDkyODY1LDMuMDE1ODE4Nzc2ODg0NzUxIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDMuMTk0NDM0LCJsbmciOjMuMDE1ODE5LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
177,5f812a3908a33300018cd873,Terminale,Atmfc ,2020-2021,2020-10-10 05:27,1.0,Public,Etablissement régional d'enseignement adapté Déficients visuels Ignace Pleyel,59120,59360,Loos,LOOS,Nord,Hauts-de-France,Point,50.59925847,3.03556673,2021-02-15 14:07,"50.599258473033615,3.035566728848919",0.0,🔵 eyJpIjoiNTAuNTk5MjU4NDczMDMzNjE1LDMuMDM1NTY2NzI4ODQ4OTE5IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NTAuNTk5MjU4LCJsbmciOjMuMDM1NTY3LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
178,5f83177a9fe5530001fd2b02,4ème,4eme Nacre,2020-2021,2020-10-11 16:32,1.0,Privé,Collège privé Saint Thomas de Villeneuve,94360,94015,Bry-sur-Marne,BRY SUR MARNE,Val-de-Marne,Ile-de-France,Point,48.83921237,2.52238883,2021-02-15 14:07,"48.839212367125604,2.522388825652034",0.0,🔵 eyJpIjoiNDguODM5MjEyMzY3MTI1NjA0LDIuNTIyMzg4ODI1NjUyMDM0IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODM5MjEyLCJsbmciOjIuNTIyMzg5LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
179,5f84199008a33300018cdbcf,Terminale,Bac pro cuisine ,2020-2021,2020-10-12 10:53,1.0,Public,Lycée professionnel F Bise,74136,74042,Bonneville,BONNEVILLE CEDEX,Haute-Savoie,Auvergne-Rhône-Alpes,Point,46.085299,6.41041463,2021-02-15 14:07,"46.08529900399155,6.410414634029819",0.0,🔵 eyJpIjoiNDYuMDg1Mjk5MDAzOTkxNTUsNi40MTA0MTQ2MzQwMjk4MTkiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0Ni4wODUyOTksImxuZyI6Ni40MTA0MTUsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaTg3MG45QkdJT1VWZDFDIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGJKbE1CSklkMWdCY2xxIn0sImUiOjB9
180,5f8317e89fe5530001fd2b1a,CM2,CM2 jaune,2020-2021,2020-10-11 16:34,2.0,Privé,Ecole primaire privée Saint Thomas de Villeneuve,94366,94015,Bry-sur-Marne,BRY SUR MARNE CEDEX,Val-de-Marne,Ile-de-France,Point,48.83921237,2.52238883,2021-02-15 14:07,"48.839212367125604,2.522388825652034",0.0,🔵 eyJpIjoiNDguODM5MjEyMzY3MTI1NjA0LDIuNTIyMzg4ODI1NjUyMDM0IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODM5MjEyLCJsbmciOjIuNTIyMzg5LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
181,5f842da29fe5530001fd2c49,Moyenne section,Moyens,2020-2021,2020-10-12 12:19,1.0,Public,Ecole maternelle Henri Wallon,60160,60414,Montataire,MONTATAIRE,Oise,Hauts-de-France,Point,49.26055589,2.42906138,2021-02-15 14:07,"49.2605558898803,2.42906138385644",0.0,🔵 eyJpIjoiNDkuMjYwNTU1ODg5ODgwMywyLjQyOTA2MTM4Mzg1NjQ0IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDkuMjYwNTU2LCJsbmciOjIuNDI5MDYxLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
